mutant_index,mr_id,detected_executions,total_executions,detection_rate,source_role,source_path,source_locator,source_sha256
25,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O27,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
25,MR6.1,4,10,0.4,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y27,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
25,MR6.5,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC27,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
26,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N28,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
26,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O28,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
26,MR6.1,2,10,0.2,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y28,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
26,MR6.5,3,10,0.3,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC28,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
27,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N29,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
27,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O29,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
27,MR6.1,4,10,0.4,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y29,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
27,MR6.5,8,10,0.8,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC29,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
28,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N30,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
28,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O30,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
28,MR6.1,8,10,0.8,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y30,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
28,MR6.5,9,10,0.9,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC30,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
29,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N31,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
29,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O31,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
29,MR6.1,6,10,0.6,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y31,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
29,MR6.5,1,10,0.1,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC31,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
